rank,player,team,matches,goals,assistances
1,Giorgian de Arrascaeta,Cruzeiro,28,7,10
2,Dudu,Palmeiras,30,5,9
3,Gustavo Scarpa,Fluminense,31,8,8
4,Robinho,Atletico Mineiro,29,12,7
4,Diego Renan,Vitoria,30,4,7
6,Cleiton Xavier,Palmeiras,28,4,6
7,Jean Mota,Santos,21,2,5
7,Robinho,Cruzeiro,21,3,5
7,Alan Patrick,Flamengo,27,4,5
7,Roger,Ponte Preta,26,8,5
7,Christian Cueva,Sao Paulo,20,7,5
7,Angel Romero,Corinthians,24,5,5
7,everton,Flamengo,26,2,5
7,Luis Ricardo,Botafogo,20,0,5
7,Roger Guedes,Palmeiras,28,4,5
7,Juan,Coritiba,25,4,5
7,Diego Souza,Sport,30,13,5
7,Keno,Santa Cruz,31,9,5
7,Reinaldo,Ponte Preta,32,2,5
20,Lucas Fernandes,Atletico Paranaense,16,0,4
20,Rhayner,Ponte Preta,19,2,4
20,Guilherme,Corinthians,25,5,4
20,Victor Luis,Botafogo,19,0,4
20,Fabio Santos,Atletico Mineiro,19,0,4
20,Jonathan Copete,Santos,21,8,4
20,Kelvin,Sao Paulo,27,1,4
20,Para,Flamengo,23,0,4
20,Vitinho,Internacional,24,8,4
20,Marinho,Vitoria,23,8,4
20,Gabriel Jesus,Palmeiras,24,11,4
20,Douglas,Gremio,28,4,4
20,William,Internacional,28,0,4
20,Fred,Atletico Mineiro,31,13,4
20,Jean,Palmeiras,31,6,4
20,Cleber Santana,Chapecoense,33,0,4
36,Arthur Maia,Chapecoense,19,2,3
36,Magno Alves,Fluminense,22,2,3
36,Ruy,Coritiba,11,1,3
36,Wellington Paulista ,Ponte Preta,18,2,3
36,Patric,Atletico Mineiro,17,2,3
36,Alisson,Cruzeiro,17,4,3
36,Leo Cittadini,Santos,13,0,3
36,Juan Cazares,Atletico Mineiro,15,6,3
36,Marcos Rocha,Atletico Mineiro,13,0,3
36,Fernandinho,Flamengo,22,3,3
36,Ricardo Centurion,Sao Paulo,15,0,3
36,Vander,Vitoria,25,3,3
36,Diego,Flamengo,14,4,3
36,Kazim kazim,Coritiba,18,3,3
36,Raphael Veiga,Coritiba,17,3,3
36,Paolo Guerrero,Flamengo,18,8,3
36,Gil,Chapecoense,24,0,3
36,Gabriel Xavier,Sport,26,3,3
36,Camilo,Botafogo,24,6,3
36,Giovanni Augusto,Atletico Mineiro,29,3,3
36,Vitor Bueno,Santos,29,10,3
36,Leo Moura,Santa Cruz,29,2,3
36,Wellington Silva,Fluminense,29,1,3
36,Uendel ,Corinthians,30,2,3
36,Fagner,Corinthians,29,1,3
36,Renato,Santos,34,2,3
62,Alejandro Martinuccio,Chapecoense,8,1,2
62,Leandro Domingues,Vitoria,9,1,2
62,Flavio,Vitoria,10,0,2
62,Paulo Henrique Ganso,Sao Paulo,7,1,2
62,Carlos Alberto,Figueirense,8,3,2
62,Ewandro ,Atletico Paranaense,9,1,2
62,Luis Carlos Ruiz,Sport,9,1,2
62,Rafael Marques,Palmeiras,19,1,2
62,Alemao,Botafogo,7,0,2
62,Caju,Santos,11,0,2
62,Romulo Otero,Atletico Mineiro,13,2,2
62,Aylon,Internacional,19,4,2
62,Federico Mancuello,Flamengo,19,3,2
62,Douglas Santos,Atletico Mineiro,10,0,2
62,Rodrigo Pimpao,Botafogo,19,3,2
62,Alex ,Internacional,21,1,2
62,Vinicius,Atletico Paranaense,15,1,2
62,Michel Bastos,Sao Paulo,14,0,2
62,Thiago Galhardo,Ponte Preta,21,0,2
62,Walter,Atletico Paranaense,19,3,2
62,Nikao,Atletico Paranaense,15,1,2
62,Bruno,Sao Paulo,15,0,2
62,Thiago Santos,Palmeiras,22,1,2
62,Richarlison,Fluminense,24,4,2
62,Giuliano,Gremio,15,3,2
62,Jefferson,Figueirense,18,0,2
62,Leandro,Coritiba,22,4,2
62,Clayton,Atletico Mineiro,25,3,2
62,Ricardo Oliveira,Santos,16,7,2
62,Euller,Vitoria,23,1,2
62,Ernandes,America Mineiro,20,0,2
62,Tiago Costa,Santa Cruz,17,2,2
62,Bady,Figueirense,22,2,2
62,William Pottker,Ponte Preta,27,12,2
62,Lucas Lima,Santos,21,2,2
62,Rodney Wallace,Sport,22,3,2
62,Leandro Donizete,Atletico Mineiro,20,2,2
62,Rogerio,Sao Paulo,28,8,2
62,Dodo,Coritiba,23,0,2
62,Danilo Barcelos,America Mineiro,29,3,2
62,Rodriguinho,Corinthians,26,4,2
62,Ze Roberto,Palmeiras,25,1,2
62,Luan,Gremio,24,6,2
62,Grafite,Santa Cruz,28,10,2
62,Edilson,Gremio,25,1,2
62,Leo,Atletico Paranaense,26,1,2
62,Everton Felipe,Sport,32,1,2
62,Marquinhos Pedroso,Figueirense,26,0,2
62,Fabian Balbuena,Corinthians,26,0,2
62,Clayson ,Ponte Preta,29,3,2
62,Neilton,Botafogo,32,8,2
62,Uillian Correia,Santa Cruz,27,0,2
62,Marquinhos Gabriel,Corinthians,31,5,2
62,Ayrton,Figueirense,29,2,2
62,Joao Vitor,Ponte Preta,30,0,2
62,Bruno Silva,Botafogo,30,3,2
62,Joao Paulo,Santa Cruz,31,2,2
62,Samuel Xavier,Sport,31,0,2
62,Willian Arao,Flamengo,33,4,2
62,Victor Ferraz,Santos,33,1,2
62,Tche Tche,Palmeiras,33,2,2
62,Ernando,Internacional,33,2,2
124,Nilson,America Mineiro,1,0,1
124,Mazinho,Santa Cruz,4,0,1
124,Danylo,America Mineiro,2,0,1
124,Joao Pedro,Atletico Paranaense,7,0,1
124,Marquinhos,Internacional,5,0,1
124,Alan Ruschel,Chapecoense,4,0,1
124,Jesus Datolo,Atletico Mineiro,6,0,1
124,Lucas Fernandes,Sao Paulo,5,1,1
124,Luan,Atletico Mineiro,7,1,1
124,Carlos Eduardo,Atletico Mineiro,8,0,1
124,Alipio,Vitoria,10,0,1
124,Mayke,Cruzeiro,4,0,1
124,Danilinho,Fluminense,7,0,1
124,Kaio,Gremio,7,0,1
124,Marcilio,Santa Cruz,5,1,1
124,Bobô,Gremio,9,1,1
124,Amaral,Coritiba,5,1,1
124,Vinicius Tanque,Botafogo,10,0,1
124,Evandro ,Coritiba,10,0,1
124,Emerson Sheik,Flamengo,10,0,1
124,Maurides,Figueirense,6,0,1
124,Neto Berola,Coritiba,7,1,1
124,Sanchez Miño,Cruzeiro,4,0,1
124,Eduardo,Atletico Paranaense,4,0,1
124,elvis,Figueirense,10,0,1
124,Juan Salgueiro,Botafogo,11,1,1
124,Gustavo,Corinthians,7,0,1
124,Leo Principe,Corinthians,5,1,1
124,Vinicius Araujo,Sport,14,2,1
124,Henrique Almeida,Gremio,15,1,1
124,Ravanelli,Ponte Preta,10,0,1
124,Gustavo Cuellar,Flamengo,15,0,1
124,Leandro Damiao,Flamengo,12,3,1
124,Andrigo,Internacional,10,0,1
124,Duvier Riascos,Cruzeiro,11,1,1
124,Vitor,Santa Cruz,8,0,1
124,Jocinei,Figueirense,10,0,1
124,Wallyson,Santa Cruz,16,0,1
124,Luiz Araujo,Sao Paulo,19,1,1
124,Anderson,Internacional,16,1,1
124,Marcelo Hermes,Gremio,9,2,1
124,Joel,Santos,16,2,1
124,Vitinho,America Mineiro,13,2,1
124,Lucho Gonzalez,Atletico Paranaense,8,0,1
124,Roberto,Santa Cruz,9,0,1
124,Negueba,Coritiba,12,1,1
124,Bruno Moraes,Santa Cruz,18,3,1
124,Cristian Baroni,Corinthians,11,0,1
124,Deivid,Atletico Paranaense,9,1,1
124,Lucca,Corinthians,19,3,1
124,Matias Pisano,Cruzeiro,13,2,1
124,elber,Cruzeiro,13,2,1
124,Vinicius,Coritiba,16,0,1
124,Marcos Guilherme,Atletico Paranaense,18,0,1
124,Rodrigao,Santos,15,3,1
124,Cesar Gonzalez,Coritiba,14,0,1
124,Ze Love,Vitoria,10,3,1
124,Eduardo,Internacional,13,0,1
124,Adalberto,America Mineiro,9,2,1
124,Nery Bareiro,Coritiba,11,1,1
124,Geferson,Internacional,12,0,1
124,Rafinha,Cruzeiro,15,2,1
124,Luciano,Corinthians,15,1,1
124,Helder,America Mineiro,10,0,1
124,Tiaguinho,Chapecoense,13,3,1
124,Gabriel Barbosa,Santos,11,5,1
124,Allan Vieira,Santa Cruz,13,0,1
124,Erik,Palmeiras,14,3,1
124,Marcelo ,Chapecoense,12,0,1
124,Matheuzinho,America Mineiro,18,0,1
124,Claudinei,America Mineiro,17,0,1
124,Ermel,Figueirense,22,2,1
124,Nicolas,Atletico Paranaense,13,0,1
124,Hyoran,Chapecoense,20,2,1
124,Silvinho,Chapecoense,14,2,1
124,Fernandes,Botafogo,18,2,1
124,Pedro Rocha,Gremio,20,3,1
124,Marlone,Corinthians,20,4,1
124,Wendel,Ponte Preta,16,3,1
124,Matheus Reis,Sao Paulo,15,0,1
124,Sherman Cardenas,Vitoria,16,0,1
124,Valdivia,Internacional,23,2,1
124,Felipe Azevedo,Ponte Preta,18,5,1
124,Gabriel França,Atletico Mineiro,14,0,1
124,Dodô,Figueirense,18,3,1
124,Maycon,Ponte Preta,18,1,1
124,Lucas Gomes,Chapecoense,23,3,1
124,Edmilson,Sport,22,5,1
124,Filipe Machado,Chapecoense,15,1,1
124,Aranha,Ponte Preta,15,0,1
124,Wellington Alves,Fluminense,17,2,1
124,Carlinhos,Coritiba,16,1,1
124,Rafael Sobis,Cruzeiro,19,4,1
124,Lins,Figueirense,22,3,1
124,Eugenio Mena ,Sao Paulo,17,0,1
124,Ronaldo Alves,Sport,16,0,1
124,Andres Chavez,Sao Paulo,18,6,1
124,Marcos Junior,Fluminense,28,6,1
124,Edinho,Coritiba,22,0,1
124,Willian,Cruzeiro,29,4,1
124,Jonas,America Mineiro,17,3,1
124,Kempes,Chapecoense,24,8,1
124,Everton,Gremio,24,3,1
124,Andre Lima,Atletico Paranaense,22,4,1
124,William Matheus,Fluminense,18,0,1
124,Rene,Sport,19,0,1
124,Rodrigo Dourado,Internacional,19,0,1
124,Lucas Romero,Cruzeiro,21,0,1
124,Maicon,Gremio,20,0,1
124,Artur,Internacional,20,0,1
124,Rodrigo Lindoso,Botafogo,21,0,1
124,Lucas Marques,Cruzeiro,21,0,1
124,Kleber,Coritiba,21,8,1
124,Sidcley,Atletico Paranaense,23,0,1
124,Carlos Cesar,Atletico Mineiro,23,2,1
124,Nino Paraiba,Ponte Preta,23,0,1
124,Diogo Barbosa,Botafogo,22,2,1
124,Paulo Andre,Atletico Paranaense,22,2,1
124,Victor Ramos,Vitoria,22,1,1
124,Arthur ,Santa Cruz,32,5,1
124,Walace,Gremio,23,1,1
124,Gustavo Henrique,Santos,24,1,1
124,Hernani,Atletico Paranaense,26,5,1
124,Josimar,Chapecoense,26,0,1
124,Emerson Santos,Botafogo,26,0,1
124,Moises Lima,Palmeiras,31,3,1
124,Thiago Maia,Santos,27,0,1
124,Rafael Vaz,Flamengo,27,0,1
124,Gimenez,Chapecoense,30,0,1
124,Maicon,Sao Paulo,28,1,1
124,Willian Farias,Vitoria,29,1,1
124,Rithely,Sport,29,2,1
124,Matheus Ferraz,Sport,29,2,1
124,Leandro Guerreiro,America Mineiro,31,0,1
124,Kieza,Vitoria,32,8,1
124,Vitor Hugo,Palmeiras,32,4,1
124,Gum,Fluminense,32,2,1