Rodada;Casa;Fora;Gol.C;Gol.F;Dia;Horario;Casa Passes;Casa Passes E;Fora Passes;Fora Passes E;Casa Chutes Certos;Casa Chutes Errados;Fora Chutes Certos;Fora Chutes Errados;Casa Faltas Cometidas;Fora Faltas Cometidas;Casa Desarmes Certos;Casa Desarmes Errados;Fora Desarmes Certos;Fora Desarmes Errados
1;Flamengo;Sport;1;0;SAB;16;471;41;322;32;5;6;1;0;18;15;24;1;19;3
1;Atletico MG;Santos;1;0;SAB;18;249;37;444;43;6;15;4;8;17;11;26;6;9;2
1;Coritiba;Cruzeiro;1;0;SAB;21;304;41;349;42;6;8;1;3;20;22;17;3;19;2
1;Corinthians;Gremio;0;0;DOM;16;470;44;283;48;1;15;2;4;12;19;24;1;22;3
1;Botafogo;Sao Paulo;0;1;DOM;11;434;32;189;48;6;5;1;3;8;10;9;1;17;4
1;America;Fluminense;0;1;DOM;16;236;48;393;39;4;13;4;11;8;9;25;2;11;2
1;Santa Cruz;Vitoria;4;1;DOM;11;174;30;280;35;5;2;3;8;11;16;16;4;20;3
1;Internacional;Chapecoense;0;0;DOM;18;420;40;146;48;7;4;3;3;14;19;12;4;8;1
1;Palmeiras;Atletico PR;4;0;SAB;16;477;42;245;40;7;6;1;2;13;17;22;2;4;2
1;Figueirense;Ponte Preta;0;0;DOM;16;244;47;244;40;4;9;3;17;8;21;13;2;7;2
2;Fluminense;Santa Cruz;2;2;SAB;18;397;34;250;31;5;10;4;5;19;23;16;4;12;4
2;Ponte Preta;Palmeiras;2;1;SAB;16;173;41;415;47;6;4;5;5;21;17;11;0;19;2
2;Atletico PR;Atletico MG;1;1;DOM;11;293;39;436;36;3;5;9;14;18;7;13;4;8;2
2;Cruzeiro;Figueirense;2;2;SAB;21;425;45;139;41;8;10;5;7;11;14;21;2;15;3
2;Santos;Coritiba;2;1;DOM;11;568;41;350;45;5;6;2;2;12;14;17;1;18;1
2;Gremio;Flamengo;1;0;DOM;16;362;49;445;39;10;10;5;10;17;7;28;6;27;7
2;Chapecoense;America;3;1;DOM;16;389;53;235;44;8;7;3;5;11;24;15;2;15;5
2;Vitoria;Corinthians;3;2;DOM;16;142;41;447;46;7;5;8;6;20;24;21;1;16;5
2;Sao Paulo;Internacional;1;2;DOM;16;324;43;255;35;6;12;4;8;11;16;20;2;24;5
2;Sport;Botafogo;1;1;DOM;18;429;55;346;43;4;9;5;11;14;10;13;3;25;7
3;Botafogo;Atletico PR;2;1;QUA;19;248;28;522;50;4;6;6;9;8;11;21;3;9;2
3;Figueirense;Santos;2;2;QUA;19;322;28;398;30;5;7;2;6;19;12;8;2;19;3
3;Flamengo;Chapecoense;2;2;QUA;21;460;37;248;20;2;4;5;7;9;23;19;2;18;4
3;America;Vitoria;1;1;QUA;21;351;29;310;43;4;8;1;6;22;18;13;1;17;3
3;Santa Cruz;Cruzeiro;4;1;QUA;22;214;27;472;37;4;4;6;14;14;14;22;3;13;2
3;Corinthians;Ponte Preta;3;0;QUI;11;419;43;279;42;5;9;1;6;22;15;13;3;5;0
3;Palmeiras;Fluminense;2;0;QUA;22;285;35;236;57;6;9;2;9;20;12;19;2;15;4
3;Coritiba;Sao Paulo;1;1;QUA;22;320;42;329;38;3;10;9;4;18;12;17;1;11;2
3;Internacional;Sport;1;0;QUI;16;361;47;296;66;5;5;1;8;14;14;24;3;21;3
3;Atletico MG;Gremio;0;3;QUI;21;421;56;356;44;4;9;6;3;8;15;23;2;26;2
4;Cruzeiro;America;1;1;SAB;16;485;51;207;19;7;20;4;4;7;9;25;1;24;3
4;Atletico PR;Figueirense;2;1;SAB;18;332;44;363;31;9;2;6;4;17;17;19;6;7;3
4;Chapecoense;Santa Cruz;1;1;SAB;21;450;54;204;35;2;14;2;1;16;19;14;4;23;4
4;Ponte Preta;Flamengo;1;2;DOM;11;448;56;272;33;5;12;4;2;19;13;18;2;20;4
4;Sport;Corinthians;0;2;DOM;11;493;55;403;45;3;8;4;8;7;12;14;2;11;3
4;Vitoria;Atletico MG;1;1;DOM;16;268;31;344;45;7;8;8;6;20;17;10;2;16;1
4;Fluminense;Botafogo;1;0;DOM;16;273;50;375;36;3;11;1;5;17;17;35;6;14;4
4;Santos;Internacional;0;1;DOM;18;391;43;356;30;3;8;4;6;9;14;19;3;26;3
4;Gremio;Coritiba;2;0;DOM;18;487;42;345;37;4;7;4;7;19;17;16;3;12;0
4;Sao Paulo;Palmeiras;1;0;DOM;16;257;42;319;45;6;8;4;5;18;21;19;1;16;2
5;Internacional;Atletico PR;1;0;QUA;19;345;50;361;42;1;8;1;11;30;15;19;0;23;1
5;Corinthians;Santos;1;0;QUA;21;542;64;256;33;6;8;1;1;13;12;25;3;17;3
5;Coritiba;Chapecoense;3;4;QUA;21;268;41;282;35;6;12;9;6;14;21;18;6;15;3
5;Santa Cruz;Sport;0;1;QUA;21;293;46;271;34;1;7;10;8;24;15;5;0;19;4
5;Botafogo;Cruzeiro;0;1;QUA;22;321;39;316;32;2;4;4;10;11;23;22;5;21;4
5;Atletico MG;Fluminense;1;1;QUA;22;473;54;283;39;4;10;4;7;16;19;24;6;18;7
5;Figueirense;Sao Paulo;1;0;QUA;22;145;35;379;49;5;12;1;11;15;18;17;4;20;2
5;America;Ponte Preta;1;2;QUI;19;441;42;335;50;6;8;5;7;6;15;14;5;27;10
5;Flamengo;Vitoria;1;0;QUI;21;317;30;314;54;2;13;2;1;14;18;20;7;11;1
5;Palmeiras;Gremio;4;3;QUI;21;222;47;317;46;8;7;5;5;24;19;17;7;12;3
6;Atletico PR;Santa Cruz;1;0;SAB;16;508;31;301;39;4;9;2;9;12;18;17;4;11;3
6;Corinthians;Coritiba;2;1;SAB;21;673;49;160;41;7;12;4;2;14;11;19;0;15;4
6;Chapecoense;Fluminense;0;0;SAB;21;357;47;409;34;2;6;2;10;12;10;12;3;13;3
6;Santos;Botafogo;3;0;DOM;11;423;31;350;35;3;4;2;10;11;12;18;2;15;3
6;America;Figueirense;1;0;DOM;11;244;33;271;48;4;15;7;6;20;14;17;0;18;0
6;Vitoria;Internacional;1;0;DOM;16;166;37;318;44;5;6;2;9;16;18;18;1;19;2
6;Flamengo;Palmeiras;1;2;DOM;16;237;26;384;49;1;6;5;10;10;12;18;2;16;2
6;Gremio;Ponte Preta;1;0;DOM;16;564;54;154;40;7;19;3;4;14;13;11;3;11;2
6;Sport;Atletico MG;4;4;DOM;16;410;45;394;40;5;7;5;6;9;17;13;2;11;1
6;Cruzeiro;Sao Paulo;0;1;DOM;18;480;36;289;39;1;10;2;7;12;9;27;2;20;4
7;Internacional;America;3;1;SAB;16;340;45;336;45;5;5;4;13;17;14;17;3;11;3
7;Ponte Preta;Chapecoense;2;1;SAB;16;373;48;231;37;4;6;2;5;22;22;12;4;20;3
7;Fluminense;Gremio;1;1;SAB;18;483;34;301;53;5;15;2;4;9;10;13;0;18;1
7;Sao Paulo;Atletico PR;1;2;SAB;21;450;43;245;35;7;6;4;1;12;17;18;2;26;0
7;Botafogo;Vitoria;1;1;DOM;11;267;43;251;46;5;6;9;7;19;17;15;4;20;1
7;Coritiba;Sport;3;2;DOM;11;320;32;264;48;7;8;6;2;16;25;16;0;18;4
7;Palmeiras;Corinthians;1;0;DOM;16;254;54;259;54;6;9;2;4;18;18;19;3;14;4
7;Atletico MG;Cruzeiro;2;3;DOM;16;409;36;157;35;3;7;7;3;15;15;20;1;18;2
7;Figueirense;Flamengo;1;0;DOM;16;189;38;379;37;5;3;9;9;17;17;13;2;12;3
7;Santa Cruz;Santos;0;2;DOM;18;378;26;419;37;4;10;5;6;20;11;12;0;13;2
8;Sao Paulo;Vitoria;2;0;QUA;19;325;38;243;48;5;5;1;8;22;20;14;0;22;3
8;Chapecoense;Gremio;3;3;QUA;19;272;41;330;48;5;3;6;10;17;14;14;3;13;1
8;Ponte Preta;Atletico PR;3;2;QUA;19;391;54;303;50;3;9;4;2;9;15;14;2;19;0
8;Botafogo;America;3;1;QUA;21;323;46;331;43;11;11;4;7;16;18;15;2;14;2
8;Santa Cruz;Figueirense;1;0;QUA;21;370;38;315;52;5;7;1;5;25;8;6;3;20;2
8;Santos;Sport;2;0;QUA;21;538;48;318;46;8;10;4;7;10;10;24;1;11;2
8;Cruzeiro;Flamengo;0;1;QUA;22;440;39;240;41;4;12;4;5;9;9;7;1;22;4
8;Coritiba;Palmeiras;2;2;QUA;22;159;35;339;64;6;2;3;6;14;19;8;2;18;1
8;Internacional;Atletico MG;2;0;QUI;19;253;50;392;47;6;6;4;9;23;12;23;4;17;0
8;Fluminense;Corinthians;1;0;QUI;19;315;40;450;49;4;6;2;11;12;6;11;2;10;2
9;Palmeiras;Santa Cruz;3;1;SAB;16;433;46;228;40;10;11;5;6;18;24;23;5;9;1
9;Atletico PR;Santos;1;0;SAB;18;256;30;557;63;6;4;5;2;16;7;20;5;16;2
9;America;Coritiba;2;1;SAB;21;271;40;266;53;5;11;9;5;18;12;14;5;9;0
9;Vitoria;Chapecoense;1;2;DOM;11;268;37;213;38;7;15;4;6;19;16;12;1;14;1
9;Atletico MG;Ponte Preta;3;0;DOM;11;400;34;364;48;8;10;2;6;10;17;21;4;14;4
9;Flamengo;Sao Paulo;2;2;DOM;16;442;33;258;22;9;19;3;4;9;18;18;5;18;6
9;Corinthians;Botafogo;3;1;DOM;16;470;44;255;39;6;6;3;7;15;15;21;1;16;2
9;Figueirense;Internacional;3;2;DOM;16;174;37;286;47;7;8;7;11;16;14;11;0;19;1
9;Sport;Fluminense;2;1;DOM;16;260;39;545;46;5;15;5;15;12;12;24;4;11;5
9;Gremio;Cruzeiro;2;0;DOM;19;475;50;341;53;8;9;0;7;12;16;23;2;14;1
10;Palmeiras;America;2;0;QUA;21;570;52;226;39;10;10;2;9;8;9;13;0;22;1
10;Ponte Preta;Cruzeiro;0;4;QUA;19;372;55;203;37;4;9;5;2;8;14;13;0;26;7
10;Botafogo;Figueirense;0;0;QUA;21;419;50;209;45;3;15;3;6;12;13;13;3;24;0
10;Santa Cruz;Flamengo;0;1;QUA;21;336;45;390;49;4;8;1;6;13;13;17;0;13;7
10;Fluminense;Santos;2;4;QUA;22;426;36;381;38;8;15;7;9;9;11;14;3;22;1
10;Atletico MG;Corinthians;2;1;QUA;22;354;42;349;37;4;5;4;6;23;10;23;0;12;3
10;Gremio;Vitoria;1;2;QUI;19;456;51;200;44;9;10;6;9;10;16;10;1;18;1
10;Sao Paulo;Sport;0;0;QUI;21;434;36;160;48;3;18;2;6;9;19;10;2;11;4
10;Coritiba;Internacional;1;1;QUI;21;244;37;190;30;3;9;6;4;13;25;11;1;10;0
10;Chapecoense;Atletico PR;0;0;QUI;16;213;37;202;50;4;8;4;8;16;17;16;2;17;0
11;Cruzeiro;Palmeiras;1;0;SAB;19;290;32;271;62;8;8;4;4;13;13;18;3;19;3
11;Corinthians;Santa Cruz;2;1;SAB;21;444;55;243;44;4;12;3;5;14;16;25;4;14;5
11;America;Atletico MG;0;1;DOM;11;374;37;256;31;4;12;4;2;19;17;15;0;19;4
11;Vitoria;Ponte Preta;1;1;DOM;16;376;33;209;47;4;10;11;4;16;21;14;0;15;3
11;Flamengo;Fluminense;1;2;DOM;16;399;48;307;32;6;11;3;13;9;14;18;3;12;1
11;Internacional;Botafogo;2;3;DOM;16;364;45;198;36;8;11;8;7;19;17;20;2;20;0
11;Santos;Sao Paulo;3;0;DOM;16;494;52;251;29;7;5;6;2;14;8;12;7;17;0
11;Atletico PR;Gremio;2;0;DOM;16;361;44;369;55;12;5;1;7;12;14;24;2;10;0
11;Figueirense;Coritiba;0;0;DOM;18;239;57;268;44;3;5;6;11;19;21;14;1;14;2
11;Sport;Chapecoense;5;1;DOM;18;392;63;300;29;8;5;4;4;22;10;15;4;17;2
12;Vitoria;Sport;3;2;QUA;19;392;38;156;27;8;11;3;5;21;19;16;2;12;1
12;Flamengo;Internacional;1;0;QUA;19;278;46;485;46;9;9;0;7;11;22;28;5;23;4
12;Gremio;Santos;3;2;QUA;19;282;38;536;52;9;7;5;11;10;14;19;4;23;6
12;Coritiba;Atletico PR;1;0;QUA;21;250;31;220;48;3;9;2;6;22;15;7;0;9;4
12;Chapecoense;Cruzeiro;3;2;QUA;21;241;45;292;39;6;8;6;2;18;18;13;2;24;2
12;Sao Paulo;Fluminense;2;1;QUA;22;299;47;402;49;8;8;2;6;16;15;12;2;13;6
12;America;Corinthians;0;2;QUA;22;439;53;297;40;5;9;4;2;8;12;16;2;15;4
12;Palmeiras;Figueirense;4;0;QUI;19;395;50;229;34;8;7;3;6;25;25;21;0;16;3
12;Santa Cruz;Ponte Preta;0;3;QUI;19;337;32;221;40;6;4;5;8;13;15;15;1;16;1
12;Atletico MG;Botafogo;5;3;QUI;21;297;46;366;34;8;4;9;10;14;9;22;3;5;2
13;Fluminense;Coritiba;0;0;SAB;16;328;45;229;56;7;5;1;4;14;16;6;1;12;2
13;Atletico PR;America;1;0;SAB;18;406;37;293;42;2;11;1;10;8;12;14;3;14;4
13;Cruzeiro;Vitoria;2;2;DOM;11;264;33;164;25;7;9;10;9;11;17;7;0;11;1
13;Internacional;Gremio;0;1;DOM;11;285;55;218;39;3;15;4;7;11;11;23;1;15;1
13;Botafogo;Santa Cruz;2;1;DOM;16;299;43;381;50;6;4;4;10;11;14;26;2;15;3
13;Corinthians;Flamengo;4;0;DOM;16;393;36;380;42;8;7;4;9;15;10;27;2;14;3
13;Santos;Chapecoense;3;0;DOM;16;562;41;259;29;6;3;5;5;13;12;19;1;17;1
13;Ponte Preta;Sao Paulo;1;0;DOM;16;426;36;203;20;7;13;1;4;19;16;28;3;17;1
13;Figueirense;Atletico MG;1;1;DOM;19;288;26;253;44;6;9;3;5;18;21;10;1;17;1
13;Sport;Palmeiras;1;3;SEG;20;345;52;186;41;5;12;7;6;17;21;10;3;16;2
14;Coritiba;Botafogo;0;0;SAB;16;302;36;282;42;5;10;2;6;20;13;12;0;12;1
14;Chapecoense;Corinthians;0;2;SAB;16;240;44;418;41;3;5;7;6;16;13;18;0;22;0
14;Ponte Preta;Sport;2;1;SAB;21;194;44;286;49;7;3;2;7;17;12;15;1;13;2
14;Flamengo;Atletico MG;2;0;DOM;11;284;28;351;45;3;4;2;7;9;23;22;7;14;0
14;Gremio;Figueirense;2;1;DOM;11;436;54;202;57;13;13;1;11;11;14;18;4;24;6
14;Sao Paulo;America;3;0;DOM;16;425;42;293;30;7;14;1;6;7;13;20;4;22;3
14;Santa Cruz;Internacional;1;0;DOM;16;235;38;262;67;3;4;3;6;20;19;18;2;25;4
14;Vitoria;Fluminense;0;0;DOM;19;215;38;184;40;7;15;1;9;16;22;13;3;10;0
14;Cruzeiro;Atletico PR;0;3;SEG;20;451;39;244;31;8;9;3;7;9;17;11;0;12;1
14;Palmeiras;Santos;1;1;TER;20;206;47;394;60;4;7;2;7;17;17;14;1;6;1
15;Botafogo;Flamengo;3;3;SAB;16;293;50;344;43;6;10;3;7;12;21;15;1;20;3
15;Santos;Ponte Preta;3;1;SAB;18;395;32;274;41;6;7;6;13;14;10;23;5;8;2
15;America;Santa Cruz;0;3;DOM;11;559;41;268;39;3;6;8;5;9;9;11;3;22;7
15;Fluminense;Cruzeiro;2;0;DOM;16;203;52;380;39;7;5;5;7;17;15;14;2;10;2
15;Corinthians;Sao Paulo;1;1;DOM;16;367;50;285;42;3;4;4;3;10;25;30;4;25;4
15;Atletico PR;Vitoria;1;1;DOM;16;313;41;293;42;6;10;4;12;15;10;15;0;12;2
15;Figueirense;Chapecoense;1;1;DOM;16;231;56;267;53;4;5;3;5;15;16;20;3;15;2
15;Internacional;Palmeiras;0;1;DOM;16;411;61;287;42;2;5;4;4;17;13;21;2;24;3
15;Sport;Gremio;4;2;DOM;18;306;39;393;43;5;8;5;12;16;15;16;3;14;3
15;Atletico MG;Coritiba;2;1;SEG;20;266;48;266;54;4;8;4;8;16;18;17;4;15;5
16;Corinthians;Figueirense;1;1;SAB;16;475;44;180;31;7;10;4;2;15;21;19;1;21;4
16;Santa Cruz;Coritiba;0;1;SAB;18;350;44;190;47;2;2;6;10;16;19;11;1;10;4
16;Ponte Preta;Internacional;2;2;DOM;11;268;40;239;43;7;9;2;4;20;13;22;1;16;0
16;Palmeiras;Atletico MG;0;1;DOM;11;360;45;235;44;5;4;4;1;11;18;25;4;14;3
16;Cruzeiro;Sport;1;2;DOM;16;350;42;194;28;12;18;5;2;15;18;13;0;7;1
16;Gremio;Sao Paulo;1;0;DOM;16;447;54;397;56;11;15;0;8;16;12;16;2;23;3
16;Atletico PR;Fluminense;1;0;DOM;16;276;38;398;49;6;9;3;6;13;20;19;3;12;0
16;Chapecoense;Botafogo;2;1;DOM;16;205;50;481;52;3;1;4;9;13;15;14;4;17;4
16;Vitoria;Santos;2;3;DOM;18;372;46;294;46;5;3;7;15;15;12;17;4;23;2
16;Flamengo;America;2;1;SEG;20;435;36;201;33;6;16;4;6;11;11;12;4;13;1
17;Figueirense;Vitoria;1;0;SAB;18;141;37;357;42;3;4;4;9;19;26;16;2;14;1
17;Sport;Atletico PR;2;0;SAB;18;360;48;370;40;5;4;3;6;23;8;14;2;20;1
17;Atletico MG;Santa Cruz;3;0;SAB;21;507;38;383;27;6;6;1;4;13;12;16;5;17;0
